Name,Client,Ink Type,Substrate,Coating,Ink number,SAP,approved_on ,created_at,Comments,customer_id
EQUATE BEAUTY MET. GOLD,APOLLO,UV,EVEREST,UV,EPS0202E,1548330,CLIENT,12/Jul/2017,,3
GLENWOOD 144 ORANGE,GLENWOOD,UV,EVEREST,AQ,EPS0213,1557543,INT,6/Dec/2017,,3
GREEN 367C,,UV,EVEREST,MATTE,EPS0291E,1595398,INT,3/Jul/2019,,3
GREEN BEAVER BLUE,GREEN BEAVER,UV,CCNB,AQ,EPS0131C,1520901,,14/Aug/2017,,3
GREEN BEAVER GREEN,GREEN BEAVER,UV,CCNB,AQ,EPS0130C,1520912,,6/Oct/2016,,3
HOMEOCAN 032C,HOMEOCAN,UV,EVEREST,UV,EPS0179E,1537272,INT,9/Feb/2017,,3
HOMEOCAN 121,HOMEOCAN,UV,EVEREST,UV,EPS0181E,1537295,INT,9/Feb/2017,RUN DENSITY DOWN TO MATCH CARTON SUPPLIED,3
HOMEOCAN 123,HOMEOCAN,UV,EVEREST,UV,EPS0182E,1537298,INT,9/Feb/2017,,3
HOMEOCAN 368 GREEN,HOMEOCAN,UV,EVEREST,UV,EPS0178E,1536998,,6/Feb/2017,,3
JAREMANS BLUE,,UV,EVEREST,AQ,EPS0186E,1540417,INT,29/Mar/2017,,3
JAREMANS GREEN,,UV,EVEREST,AQ,EPS0185E,1540416,INT,29/Mar/2017,,3
LABTICIAN PURPLE,LABTICIAN,UV,EVEREST,,EPS0008E,1470789,INT,22/Nov/2017,"MATCHED TO A SCREEN, IF ART SOLID NEEDS TO BE REMATCHED",3
NORWEX GREEN,,UV,CCNB,AQ,EPS0224C,1567045,,27/Apr/2018,,3
Pantone Pro Blue,Advil,C,Everest,AQ,EPS0115E,1512456,Int,11/Mar/2020,,3
Pantone Pro Yellow,Advil,UV,Everest,AQ,EPS0306E,1612971,Int,14/Apr/2020,,3
Pantone Purple,Advil,UV,Everest,AQ,EPS0305E,1612969,INT,24/Apr/2020,,3
PANTONE VIOLET,,UV,EVEREST,,EPS0108E,1508139,,6/Oct/2015,,3
Pantone Yellow,Advil,UV,Everest,AQ,EPS0306E,1612971,,14/Apr/2020,,3
Pantone Yellow,Advil,C,Everest,,1613078-1319,1613078,Int,16/Apr/2020,Hard Dri for blister coating,3
PMS 012,,UV,EVEREST,UV,EPU0012E,1593826,,3/Jun/2019,,3
PMS 012,,C,EVEREST,AQ,EPC0012E,1472358,INT,2/Aug/2019,,3
PMS 012C,,UV,SBS,AQ,EPS0028C,1472353,,15/Jan/2014,,3
PMS 021,,C,EVEREST,AQ,EPC0021E,1598647,INT,14/Aug/2019,,3
PMS 021 ORANGE,,UV,EVEREST,UV,EPS0198E,1545557,CLIENT,23/Jun/2017,,3
PMS 032,Advil,UV,Everest,AQ,EPU0032,1613448,Client,23/Apr/2020,,3
PMS 032C RED WALGREENS,,CONV,EVEREST,AQ,EPS0253C,1577924,INT,31/Oct/2018,,3
PMS 072C,,UV,SBS,AQ,EPS0029C,1472375,,15/Jan/2014,,3
PMS 10119,,UV,EVEREST,AQ,EPU10119E,1561306,CLIENT,21/Feb/2018,,3
PMS 10119,,C,EVEREST,AQ,EPC10119E,1574964,,11/Sep/2018,,3
PMS 10120,,UV,EVEREST,UV,EPS0294C,1596479,INT,7/Nov/2019,,3
PMS 10120 MET YELLOW,,UV,EVEREST,UV,EPS0294C,1596479,INT,11/Jul/2019,,3
PMS 10135,,UV,CCNB,UV,EPU10135C,1568980,CLIENT,6/Jun/2018,,3
PMS 101C,,UV,CCNB,AQ,EPU0101C,1527011,,1/Aug/2018,,3
PMS 101C,,UV,EVEREST,UV,EPU0101E,1527011,INT,12/Aug/2016,,3
PMS 102,,UV,EVEREST,UV,EPU0102E,1540067,INT,23/Mar/2017,,3
PMS 10356,,UV,EVEREST,,EPU10356E,1513136,,11/Jan/2016,,3
PMS 10364,,UV,EVEREST,,EPU10364E,1513152,,11/Jan/2016,,3
PMS 10364,,UV,CAROLINA,,EPU10364C,1519911,,15/Apr/2016,,3
PMS 10398,,UV,CAROLINA,,EPU10398C,1519952,,15/Apr/2016,,3
PMS 107,,C,EVEREST,AQ,EPC0107E,1545035,INT,15/Jun/2017,,3
PMS 109,,C,SBS,AQ,EPC0109C,1487275,INT,15/Aug/2014,,3
PMS 109C,Advil,UV,EVEREST,AQ,EPU0109E,1469050,Client,24/Apr/2020,,3
PMS 116,,C,EVEREST,AQ,EPC0116C,1488584,CLIENT,26/Jan/2018,,3
PMS 116C,,UV,EVEREST,UV,EPU0116E,1540991,,5/Apr/2014,,3
PMS 120,,UV,EVEREST,AQ,EPU0120E,1543156,INT,11/May/2017,,3
PMS 120,,C,,AQ,EPU0120E,1539351,,11/May/2017,,3
PMS 120,,C,EVEREST,AQ,EPC0120C,1498766,,5/Feb/2018,,3
