Name,Client,Ink Type,Substrate,Coating,Ink number,SAP,approved_on ,created_at,Comments
AVEENO BABY BUFF,,UV,SBS,AQ MATTE,EPS0039C,1475916,INT,21-Mar-14,
AVEENO BABY STRIPE YELLOW,,UV,SBS,AQ MATTE,EPS0040C,1475918,INT,21-Mar-14,
BBK OCEAN,QPSI,UV,EVEREST,AQ,EPS0270C,1583332,INT,01-Feb-19,
CANADIAN TIRE GREEN,,UV,SBS,,EPS0089C,1500689,CLIENT,05-Jun-15,
CANADIAN TIRE RED,,UV,SBS,,EPS0088C,1500690,CLIENT,05-Jun-15,
CENTRUM BLUE,PFIZER,UV,SBS,AQ,EPS0022C,1471552,INT,27-Jan-15,TO STANDARD #11
CF10139 ORANGE,,UV,SBS,,EPS0065C,1491282,,19-Dec-14,
COMPLIMENTS DK BLUE,,UV,CCNB,AQ,EPS0033C,1472896,,13-Feb-14,
COMPLIMENTS LT BLUE,,UV,CCNB,AQ,EPS0032C,1472895,,13-Feb-14,
CONV. PANTONE PURPLE,,C,EVEREST,AQ,EPS0201E,1546532,INT,13-Jul-17,
CONV.WRIGLEY BLUE 30231,NOWPAK,C,STRATHCOTE,AQ,EPS0208,1550260,,25-Sep-17,
COOL GREY #2,,UV,EVEREST,UV,EPU0002E,1575566,,19-Sep-18,
COOL GREY 10,,C,EVEREST,AQ,EPC0010E,1503472,CLIENT,31-Aug-16,COOL GREY
COOL GREY 3C,,UV,EVEREST,UV,EPU0003E,1605572,,06-Dec-19,
COOL GREY 6,,UV,EVEREST,ST,EPU0006E,1606080,INT,11-Dec-19,
COOL GREY 7C,,C,EVEREST,AQ,EPS0173E,1529465,INT,23-Sep-14,
DERMA SCIENCE BLUE,DERMA SCIENCE,UV,CONQUEST,AQ,EPS0189C,1543441,INT,17-May-17,
DK+LT GREY,,UV,EVEREST,ST,EPS0300E,1606090,INT,11-Dec-19,
EM GREEN,VEGAN WAY,UV,SBS,AQ,UV CURABLE EM GREEN,,,14-Feb-20,RYCOLINE
CONV. WRIGLEY BLUE 31321,,C,CCNB,AQ,EPS0184C,1538748,,02-Mar-18,
255 Purple ,,UV,,UV MATTE,EPS0200E,1546378,,25-Sep-17,RUB TEST
EQUATE BEAUTY MET. GOLD,APOLLO,UV,EVEREST,UV,EPS0202E,1548330,CLIENT,12-Jul-17,
GLENWOOD 144 ORANGE,GLENWOOD,UV,EVEREST,AQ,EPS0213,1557543,INT,06-Dec-17,
GREEN 367C,,UV,EVEREST,MATTE,EPS0291E,1595398,INT,03-Jul-19,
GREEN BEAVER BLUE,GREEN BEAVER,UV,CCNB,AQ,EPS0131C,1520901,,14-Aug-17,
GREEN BEAVER GREEN,GREEN BEAVER,UV,CCNB,AQ,EPS0130C,1520912,,06-Oct-16,
HOMEOCAN 032C,HOMEOCAN,UV,EVEREST,UV,EPS0179E,1537272,INT,09-Feb-17,
HOMEOCAN 121,HOMEOCAN,UV,EVEREST,UV,EPS0181E,1537295,INT,09-Feb-17,RUN DENSITY DOWN TO MATCH CARTON SUPPLIED
HOMEOCAN 123,HOMEOCAN,UV,EVEREST,UV,EPS0182E,1537298,INT,09-Feb-17,
HOMEOCAN 368 GREEN,HOMEOCAN,UV,EVEREST,UV,EPS0178E,1536998,,06-Feb-17,
JAREMANS BLUE,,UV,EVEREST,AQ,EPS0186E,1540417,INT,29-Mar-17,
JAREMANS GREEN,,UV,EVEREST,AQ,EPS0185E,1540416,INT,29-Mar-17,
LABTICIAN PURPLE,LABTICIAN,UV,EVEREST,,EPS0008E,1470789,INT,22-Nov-17,"MATCHED TO A SCREEN, IF ART SOLID NEEDS TO BE REMATCHED"
NORWEX GREEN,,UV,CCNB,AQ,EPS0224C,1567045,,27-Apr-18,
Pantone Pro Blue,Advil,C,Everest,AQ,EPS0115E,1512456,Int,11-Mar-20,
Pantone Pro Yellow,Advil,UV,Everest,AQ,EPS0306E,1612971,Int,14-Apr-20,
Pantone Purple,Advil,UV,Everest,AQ,EPS0305E,1612969,INT,24-Apr-20,
PANTONE VIOLET,,UV,EVEREST,,EPS0108E,1508139,,06-Oct-15,
Pantone Yellow,Advil,UV,Everest,AQ,EPS0306E,1612971,,14-Apr-20,
Pantone Yellow,Advil,C,Everest,,1613078-1319,1613078,Int,16-Apr-20,Hard Dri for blister coating
PMS 012,,UV,EVEREST,UV,EPU0012E,1593826,,03-Jun-19,
PMS 012,,C,EVEREST,AQ,EPC0012E,1472358,INT,02-Aug-19,
PMS 012C,,UV,SBS,AQ,EPS0028C,1472353,,15-Jan-14,
PMS 021,,C,EVEREST,AQ,EPC0021E,1598647,INT,14-Aug-19,
PMS 021 ORANGE,,UV,EVEREST,UV,EPS0198E,1545557,CLIENT,23-Jun-17,
PMS 032,Advil,UV,Everest,AQ,EPU0032,1613448,Client,23-Apr-20,
PMS 032C RED WALGREENS,,CONV,EVEREST,AQ,EPS0253C,1577924,INT,31-Oct-18,
PMS 072C,,UV,SBS,AQ,EPS0029C,1472375,,15-Jan-14,
PMS 10119,,UV,EVEREST,AQ,EPU10119E,1561306,CLIENT,21-Feb-18,
PMS 10119,,C,EVEREST,AQ,EPC10119E,1574964,,11-Sep-18,
PMS 10120,,UV,EVEREST,UV,EPS0294C,1596479,INT,07-Nov-19,
PMS 10120 MET YELLOW,,UV,EVEREST,UV,EPS0294C,1596479,INT,11-Jul-19,
PMS 10135,,UV,CCNB,UV,EPU10135C,1568980,CLIENT,06-Jun-18,
PMS 101C,,UV,CCNB,AQ,EPU0101C,1527011,,01-Aug-18,
PMS 101C,,UV,EVEREST,UV,EPU0101E,1527011,INT,12-Aug-16,
PMS 102,,UV,EVEREST,UV,EPU0102E,1540067,INT,23-Mar-17,
PMS 10356,,UV,EVEREST,,EPU10356E,1513136,,11-Jan-16,
PMS 10364,,UV,EVEREST,,EPU10364E,1513152,,11-Jan-16,
PMS 10364,,UV,CAROLINA,,EPU10364C,1519911,,15-Apr-16,
PMS 10398,,UV,CAROLINA,,EPU10398C,1519952,,15-Apr-16,
PMS 107,,C,EVEREST,AQ,EPC0107E,1545035,INT,15-Jun-17,
PMS 109,,C,SBS,AQ,EPC0109C,1487275,INT,15-Aug-14,
PMS 109C,Advil,UV,EVEREST,AQ,EPU0109E,1469050,Client,24-Apr-20,
PMS 116,,C,EVEREST,AQ,EPC0116C,1488584,CLIENT,26-Jan-18,
PMS 116C,,UV,EVEREST,UV,EPU0116E,1540991,,05-Apr-14,
PMS 120,,UV,EVEREST,AQ,EPU0120E,1543156,INT,11-May-17,
PMS 120,,C,,AQ,EPU0120E,1539351,,11-May-17,
PMS 120,,C,EVEREST,AQ,EPC0120C,1498766,,05-Feb-18,
PMS 122,,C,EVEREST,AQ,EPC0122E,1607895,INT,20-Jan-20,
PMS 123,,C,CCNB,AQ MATTE,EPC0123C,1500401,,27-Nov-18,
PMS 1235,,UV,CCNB,ST,EPU1235C,1472594,INT,01-Feb-19,
PMS 1235,,C,EVEREST,AQ,EPC1235E,1472546,INT,14-Aug-19,
PMS 1235C,,UV,SBS,AQ,EPU1235C,1472594,,17-Jan-14,
PMS 123C,,UV,EVEREST,AQ,EPU0123E,1505462,INT,14-May-18,
PMS 123C,,UV,CCNB,MATTE AQ,EPU0123E,1505462,,30-Oct-18,
PMS 124C,,UV,EVEREST,AQ,EPU0124E,1569642,,08-Jun-18,
PMS 130,,C,EVEREST,AQ,EPC0130E,1506656,,18-Sep-18,
PMS 130C,,UV,EVEREST,,EPU0130E,1506656,INT,28-Nov-17,
PMS 135C,,UV,EVEREST,ST+UV,EPU0135E,1530501,,31-Oct-16,
PMS 137,,C,EVEREST,AQ,EPC0137E,1505421,INT,24-May-18,
PMS 1375,,UV,EVEREST,AQ,EPU1375C,1560690,INT,16-Apr-18,
PMS 1375,,UV,EVEREST,AQ,EPU1375C,1560690,INT,01-Feb-18,
PMS 1375,,C,EVEREST,AQ,EPC1375E,1573987,INT,23-Aug-18,
PMS 1375C ORANGE,,UV,EVEREST,AQ,EPS0277E,1585698,,11-Mar-09,
PMS 137C,,UV,EVEREST,AQ,EPU0137E,1583490,INT,05-Feb-19,
PMS 143,,C,EVEREST,ST,EPC0143E,1585308,CLIENT,03-Jun-19,
PMS 143C,,UV,EVEREST,UV,EPU0143E,1572765,,01-Aug-18,
PMS 144,,C,CCNB,AQ,EPC0144C,1486930,,27-Nov-18,
PMS 144C,,UV,CCNB,MATTE AQ,EPU0144E,1493138,,30-Oct-18,
PMS 144C,,UV,EVEREST,AQ,EPU0144E,1493138,INT,15-Dec-17,
PMS 144C YELLOW,,UV,EVEREST,AQ,EPS0280E,1585694,,11-Mar-09,
PMS 1495,,UV,EVEREST,AQ,EPU1495E,1569796,CLIENT,12-Jun-18,
PMS 1495,,C,EVEREST,AQ,EPC1495E,1580234,,11-Dec-18,
PMS 1495C ORANGE,,UV,EVEREST,AQ,EPS0255E,1580335,CLIENT,12-Dec-18,
PMS 150,,C,PRINTKOTE,AQ,EPC0150C,1511262,,30-Nov-15,
PMS 1505,,UV,EVEREST,UV,EPU1505C,1497269,,09-Apr-15,
PMS 151,,UV,EVEREST,UV,EPU0151E,1521187,CLIENT,02-Jun-16,
PMS 1545,,UV,CCNB,ST,EPU1545E,1539902,,01-Feb-19,
PMS 1545,,UV,EVEREST,UV,EPU1545E,1539902,CLIENT,23-Mar-17,
PMS 1545,,C,EVEREST,AQ,EPC1545E,1575760,,24-Sep-18,
PMS 155,,UV,MILLMASK,AQ,EPU0155C,1543245,,11-May-17,
PMS 1555,,UV,EVEREST,MATTE AQ,EPU1555E,1594092,INT,03-Jul-19,
PMS 157C,,UV,,AQ,EPU0157E,1602569,INT,16-Oct-19,
PMS 158,,C,EVEREST,ST,EPC0158E,1585322,CLIENT,06-Mar-19,
PMS 1585,,UV,EVEREST,UV,EPU1585E,1593827,,26-Mar-20,
PMS 1585,,C,EVEREST,AQ,EPC1585E,1598125,INT,15-Aug-19,
PMS 1595,,UV,EVEREST,UV,EPU1595E,1564619,CLIENT,27-Mar-18,
PMS 159C,,UV,EVEREST,,EPU0159E,1556881,CLIENT,28-Nov-17,
PMS 162C,,UV,EVEREST,UV,EPU0162E,1575568,,19-Sep-18,
PMS 1635,,UV,EVEREST,AQ,EPU1635E,1577902,,30-Oct-18,
PMS 165,,UV,EVEREST,AQ,EPU0165E,1538820,INT,21-Feb-18,
PMS 1655,,UV,CCNB,MATTE,EPU1655C,1595632,INT,26-Jun-19,
PMS 1665,,UV,,MATTE AQ,EPU1665C,1488582,,25-Oct-18,
PMS 1665,,C,CCNB,MATTE AQ,EPC1665C,1577856,,30-Oct-18,
PMS 1665C EMERGEN-C ORANGE,PFIZER,UV,EVEREST,UV,EPS0164E,1528205,INT,29-Aug-16,
PMS 168,,C,MILLMASK,AQ,EPC0168C,1573354,,13-Aug-18,
